Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		4,784 K	69,692 K	88		
System Idle Process	74.72	60 K	8 K	0		
System	1.43	196 K	144 K	4		
 Interrupts	2.62	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,156 K	1,180 K	336		
 Memory Compression		160 K	2,412 K	1476		
csrss.exe	< 0.01	1,620 K	4,700 K	420		
wininit.exe		1,364 K	6,216 K	496		
 services.exe		4,412 K	8,924 K	608		
  svchost.exe		924 K	3,612 K	760	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		9,836 K	25,932 K	784	Host Process for Windows Services	Microsoft Corporation
   dllhost.exe		2,264 K	11,704 K	4348	COM Surrogate	Microsoft Corporation
   StartMenuExperienceHost.exe		19,656 K	60,372 K	4536		
   RuntimeBroker.exe		3,652 K	21,468 K	4632	Runtime Broker	Microsoft Corporation
   SearchUI.exe	Suspended	56,880 K	107,696 K	4732	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		6,104 K	17,740 K	4960	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		3,020 K	14,768 K	5832	Runtime Broker	Microsoft Corporation
   SkypeApp.exe	Suspended	115,540 K	93,396 K	1096	SkypeApp	Microsoft Corporation
   RuntimeBroker.exe		5,136 K	21,172 K	6392	Runtime Broker	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,840 K	768 K	3536	Microsoft Skype	Microsoft Corporation
   Microsoft.Photos.exe	Suspended	36,432 K	504 K	3408		
   RuntimeBroker.exe	0.01	4,952 K	16,876 K	3732	Runtime Broker	Microsoft Corporation
   WmiPrvSE.exe	0.02	23,448 K	31,696 K	248		
   SecurityHealthHost.exe		2,256 K	14,124 K	5016	Windows Security Health Host	Microsoft Corporation
   ShellExperienceHost.exe		10,368 K	43,384 K	2016	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe		2,480 K	15,740 K	4752	Runtime Broker	Microsoft Corporation
   smartscreen.exe		8,952 K	25,508 K	6224	Windows Defender SmartScreen	Microsoft Corporation
  svchost.exe	0.01	6,552 K	12,564 K	896	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,044 K	6,924 K	948	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,280 K	4,932 K	412	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,452 K	9,928 K	780	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,940 K	11,608 K	636	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		12,856 K	15,624 K	1080	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,348 K	8,056 K	1132	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,100 K	6,960 K	1156	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,448 K	10,628 K	1220	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,576 K	11,228 K	1264	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,920 K	7,112 K	1280	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	59,020 K	66,276 K	1296	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,264 K	5,324 K	1316	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		4,056 K	11,708 K	1412	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,744 K	7,356 K	1504	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,796 K	7,352 K	1512	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		5,444 K	14,348 K	1528	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe	0.02	5,648 K	14,304 K	388	Host Process for Windows Tasks	Microsoft Corporation
  svchost.exe		1,628 K	6,888 K	1696	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,724 K	6,920 K	1704	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,000 K	12,796 K	1816	Host Process for Windows Services	Microsoft Corporation
